entry_id,smiles,cation_family,anion_family,value
aafbj,OCC[NH2+]c1ccccc1.CCCCC(=O)[O-],ammonium,carboxylates,1.5112999999999999
adgYs,CCCCCC[NH+](CCCCCC)CCCCCC.CCCCCC(=O)[O-],ammonium,carboxylates,1.3357
aefaz,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC.CCCC(=O)[O-],ammonium,carboxylates,1.3596
ahhFV,[NH3+]CCO.CC(O)C(=O)[O-],ammonium,carboxylates,1.8655
axyRs,CCCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,1.6175
bGxYc,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2257
bTUaL,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4242000000000001
bUcSR,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2342
bcFgi,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4429
bgFmf,CC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.8509
btEOa,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,triazolium,sulfonates,1.32079
bwbIf,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.6807999999999998
bzccl,CCc1cccc[n+]1CC.CCOS(=O)(=O)[O-],pyridinium,sulfates,1.7455999999999998
cPcJL,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.25
cfJMg,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.24012
cnrQD,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2401
ctkon,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4427999999999999
dBCYB,CCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,1.4235
dRiqa,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3648
dUrEE,CC(C)COC(=O)C(C)[NH3+].CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.4019000000000001
