smiles,MP
F[B-](F)(F)F.CCCCCCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-65.0
F[P-](F)(F)(F)(F)F.CCCCCCCC[NH+]1CN(CCCP(=O)(OCC)OCC)C=C1,-93.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C[N+]1=CN(CCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)C=C1,-56.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C[N+]1=CN(CCCCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)C=C1,-57.0
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C[N+]1=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F)C=C1,-50.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCCSC(=S)N(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,54.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCCSC(=S)N2CCOCC2)C=C1,51.0
F[P-](F)(F)(F)(F)F.C[N+]1=CN(CCCSC(=S)N2C=CN=C2)C=C1,125.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CCCBr)=C1,46.0
[Cl-].CCCCN1C=C[N+](CC(C)O)=C1,137.0
F[P-](F)(F)(F)(F)F.CCCCNC(=O)CN1C=C[N+](C)=C1,65.0
F[P-](F)(F)(F)(F)F.CCCCN(C)C(=O)CN1C=C[N+](C)=C1,63.0
[Br-].CCN(CC)C(=O)C[N+]1=CN(C)C=C1,67.0
CCN(CC)C(=O)C[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,44.0
F[P-](F)(F)(F)(F)F.CCN(CC)C(=O)C[N+]1=CN(C)C=C1,65.0
CC(CC#N)[B-](F)(F)F.C[N+]1=CN(CC#C)C=C1,-80.0
F[B-](F)(F)F.C[N+]1=CN(CC=C)C=C1,-81.0
CC(CC#N)[B-](F)(F)F.C[N+]1=CN(CC=C)C=C1,-89.0
CC(CC#N)[B-](F)(F)F.C[N+]1=CN(CCCC(O)=O)C=C1,-59.0
F[B-](F)(F)F.C#CCN1C=C[N+](CC#C)=C1,67.0
CC(CC#N)[B-](F)(F)F.C#CCN1C=C[N+](CC#C)=C1,-55.0
CC(CC#N)[B-](F)(F)F.C=CCN1C=C[N+](CC=C)=C1,-87.0
CC(CC#N)[B-](F)(F)F.N#CCCCN1C=C[N+](CCCC#N)=C1,-70.0
CC(CC#N)[B-](F)(F)F.OC(=O)CCCN1C=C[N+](CCCC(O)=O)=C1,38.0
[Br-].C[C@H](C[N+]1=CN(C)C=C1)OCC1=CC=CC=C1,58.0
F[B-](F)(F)F.C[C@H](C[N+]1=CN(C)C=C1)OCC1=CC=CC=C1,42.0
F[P-](F)(F)(F)(F)F.C[C@H](C[N+]1=CN(C)C=C1)OCC1=CC=CC=C1,93.0
F[P-](F)(F)(F)(F)F.CN1C=C[N+](CC(Br)CBr)=C1,71.0
[Cl-].C#CCCCN1C=C[N+](CCCC#C)=C1,65.0
F[B-](F)(F)F.C#CCCCN1C=C[N+](CCCC#C)=C1,-23.0
[O-]S(=O)(=O)C(F)(F)F.C(N1C=C[N+](CC2=CC=CC=C2)=C1)C1=CC=CC=C1,73.0
CC1=CC=C(C=C1)S([O-])(=O)=O.C(N1C=C[N+](CC2=CC=CC=C2)=C1)C1=CC=CC=C1,114.0
[Cl-].CC1=NC(C)=C(C)[NH2+]1,194.0
[Cl-].CN1C=C[N+](C)=C1C,189.0
[Cl-].CCN1C=C[N+](C)=C1C,188.0
[Br-].CCN1C=C[N+](C)=C1C,141.0
CCN1C=C[N+](C)=C1C.FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,25.0
[O-]S(=O)(=O)C(F)(F)F.CCN1C=C[N+](C)=C1C,109.0
[O-]C(=O)C(F)(F)F.CCN1C=C[N+](C)=C1C,59.0
CC[N+]1=CN(C)C=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-39.0
[O-]S(=O)(=O)C(F)(F)F.CC[N+]1=CN(C)C=C1C,6.0
