cation_id,anion_id,solute_id,reference_id,T,idac,cation_smiles,anion_smiles,solute_smiles,smiles,temperature,value
"im-6,1",bf4,n-heptane,bahlmann-2009,323.27,41.09,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCC,0.21950000000000003,3.7157647828953184
"im-6,1",bf4,n-heptane,bahlmann-2009,333.11,38.91,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCC,0.28100000000000025,3.661251286996462
"im-6,1",bf4,n-heptane,bahlmann-2009,343.09,36.75,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCC,0.343375,3.6041382256588457
"im-6,1",bf4,n-octane,bahlmann-2009,303.16,69.6,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCC,0.0938125000000003,4.242764567340374
"im-6,1",bf4,n-octane,bahlmann-2009,318.14,62.27,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCC,0.18743750000000006,4.13147976888436
"im-6,1",bf4,n-octane,bahlmann-2009,323.27,59.45,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCC,0.21950000000000003,4.085135623136791
"im-6,1",bf4,n-octane,bahlmann-2009,333.11,56.01,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCC,0.28100000000000025,4.025530246221741
"im-6,1",bf4,n-octane,bahlmann-2009,343.09,52.53,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCC,0.343375,3.9613844349658702
"im-6,1",bf4,n-nonane,bahlmann-2009,318.21,87.96,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCC,0.18787500000000001,4.47688216568656
"im-6,1",bf4,n-nonane,bahlmann-2009,328.16,81.24,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCC,0.2500625000000003,4.397407736712184
"im-6,1",bf4,n-nonane,bahlmann-2009,338.14,76.72,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCC,0.31243750000000003,4.340162430575183
"im-6,1",bf4,n-nonane,bahlmann-2009,348.16,72.87,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCC,0.3750625000000003,4.288677031682191
"im-6,1",bf4,n-decane,bahlmann-2009,318.21,128.8,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCCC,0.18787500000000001,4.858260813670253
"im-6,1",bf4,n-decane,bahlmann-2009,328.16,115.3,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCCC,0.2500625000000003,4.747537427275013
"im-6,1",bf4,n-decane,bahlmann-2009,338.14,109.8,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCCC,0.31243750000000003,4.69866052907543
"im-6,1",bf4,n-decane,bahlmann-2009,348.16,103.5,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCCCCCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.CCCCCCCCCC,0.3750625000000003,4.639571612705423
"im-6,1",bf4,1-hexene,bahlmann-2009,318.11,12.97,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,C=CCCCC,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F.C=CCCCC,0.18725000000000022,2.5626389983283526
