smiles,MP
COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F,45.0
CCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,75.0
Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,37.0
Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,103.0
CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,38.0
CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F,48.0
CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,14.0
CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1,70.0
Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,48.0
Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,52.0
CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F,57.0
CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],38.0
CCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,85.0
CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,79.0
CCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,32.0
CCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,21.0
CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],97.0
CCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,34.0
CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17.0
CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,40.0
CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,60.0
CCCCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,72.0
CCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,49.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],19.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],54.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,38.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,34.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,50.0
CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,73.0
CCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,55.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],42.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],40.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,46.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,58.0
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,75.0
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],53.0
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,67.0
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45.0
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,66.0
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,80.0
CCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],60.0
COC[n+]1ccn(C)c1.[Cl-],17.0
COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,17.0
C[n+]1ccn(C(F)(F)C(F)F)c1.[I-],141.0
C[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,64.0
C[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.0
CC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],91.0
CC[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,25.0
CC[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16.0
CCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],78.0
CCCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],74.0
CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45.0
CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,73.0
CCCCCCCCOCn1cc[n+](COCCCCCCCC)c1.F[B-](F)(F)F,54.0
CCCCCCCCCOCn1cc[n+](COCCCCCCCCC)c1.F[B-](F)(F)F,57.0
CCCCCCCCCCOCn1cc[n+](COCCCCCCCCCC)c1.F[B-](F)(F)F,69.0
CCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCC)c1.F[B-](F)(F)F,71.0
CCCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCCC)c1.F[B-](F)(F)F,79.0
Cn1cc[n+](CCO)c1.[Cl-],61.0
Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,23.0
COC(=O)C[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,77.0
CCC(C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43.0
CC(C)CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,40.0
C[n+]1ccn(CCO[Si](C)(C)C)c1.[I-],69.0
C[Si](C)(C)OCCn1cc[n+](CCF)c1.[Br-],126.0
C[Si](C)(C)OCCn1cc[n+](CCC(F)(F)F)c1.[I-],133.0
CCC(=O)C[n+]1ccn(CCC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,128.0
C[n+]1ccn(CC#N)c1.F[B-](F)(F)F,35.0
C[n+]1ccn(CC#N)c1.F[P-](F)(F)(F)(F)F,78.0
C[n+]1ccn(CCC#N)c1.[Cl-],50.0
C[n+]1ccn(CCC#N)c1.F[B-](F)(F)F,20.0
C[n+]1ccn(CCC#N)c1.F[P-](F)(F)(F)(F)F,35.0
C[n+]1ccn(CCCC#N)c1.[Cl-],80.0
C[n+]1ccn(CCCC#N)c1.F[P-](F)(F)(F)(F)F,75.0
C[n+]1ccn(CCCCC#N)c1.[Cl-],32.0
C[n+]1ccn(CCCSC(=S)N(c2ccccc2)c2ccccc2)c1.F[P-](F)(F)(F)(F)F,54.0
C[n+]1ccn(CCCSC(=S)N2CCOCC2)c1.F[P-](F)(F)(F)(F)F,51.0
C[n+]1ccn(CCCSC(=S)n2ccnc2)c1.F[P-](F)(F)(F)(F)F,125.0
Cn1cc[n+](CCCBr)c1.F[P-](F)(F)(F)(F)F,46.0
CCCCn1cc[n+](CC(C)O)c1.[Cl-],137.0
CCCCNC(=O)Cn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,65.0
CCCCN(C)C(=O)Cn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,63.0
CCN(CC)C(=O)C[n+]1ccn(C)c1.[Br-],67.0
