cation,anion
CCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,[Br-]
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
CCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,[Br-]
COC[n+]1ccn(C)c1,[Cl-]
COC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)F
COC[n+]1ccn(C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F
C[n+]1ccn(C(F)(F)C(F)F)c1,[I-]
C[n+]1ccn(C(F)(F)C(F)F)c1,F[B-](F)(F)F
C[n+]1ccn(C(F)(F)C(F)F)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC[n+]1ccn(C(F)(F)C(F)F)c1,[I-]
CC[n+]1ccn(C(F)(F)C(F)F)c1,F[B-](F)(F)F
CC[n+]1ccn(C(F)(F)C(F)F)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCC[n+]1ccn(C(F)(F)C(F)F)c1,[I-]
CCCC[n+]1ccn(C(F)(F)C(F)F)c1,[I-]
CCOC(=O)[C@@H](C)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
