Abbreviation	SMILES
im-2(cfbr,cf2br),1	C[n+]1ccn(CC[C@](F)(Br)C(F)(F)Br)c1
im-2(cfbr,cf2br),1(chbr,ch2br)	FC(F)(Br)[C@@](F)(Br)CCn1cc[n+](C[C@H](Br)CBr)c1
im-1(chbr,ch2br),1,br[4],br[5]	Cn1c[n+](C[C@H](Br)CBr)c(Br)c1Br
im-1(chbr,ch2br),1,i[4],i[5]	Cn1c[n+](C[C@H](Br)CBr)c(I)c1I
im-1(chbr,ch2br),1(chbr,ch2br),i[4],i[5]	BrC[C@@H](Br)Cn1c[n+](C[C@@H](Br)CBr)c(I)c1I
im-11[br]1n3,1	Cn1cc[n+](C[C@@H](Br)CN=[N+]=[N-])c1
im-11[n3]1br,1	Cn1cc[n+](C[C@H](CBr)N=[N+]=[N-])c1
im-1cn,1	Cn1cc[n+](CC#N)c1
im-2cn,1	Cn1cc[n+](CCC#N)c1
im-3cn,1	Cn1cc[n+](CCCC#N)c1
im-3cn,1,1	Cc1n(C)cc[n+]1CCCC#N
im-4cn,1	Cn1cc[n+](CCCCC#N)c1
im-2cn,4	CCCC[n+]1ccn(CCC#N)c1
im-2cn,6	CCCCCC[n+]1ccn(CCC#N)c1
im-2cn,8	CCCCCCCC[n+]1ccn(CCC#N)c1
im-2cn,10	CCCCCCCCCC[n+]1ccn(CCC#N)c1
im-2cn,1ph	N#CCCn1cc[n+](Cc2ccccc2)c1
im-2cn,a	C=CC[n+]1ccn(CCC#N)c1
im-2cn,2oh	OCC[n+]1ccn(CCC#N)c1
im-2cn,2o2	CCOCC[n+]1ccn(CCC#N)c1
im-3,1,cn	CCC[n+]1ccn(C)c1C#N
im-2nh2,1	C[n+]1ccn(CCN)c1
im-3nh2,1	C[n+]1ccn(CCCN)c1
im-1cooh,1	C[n+]1ccn(CC(O)=O)c1
im-1cooh,1,1	Cc1n(C)cc[n+]1CC(O)=O
im-1cooh,4	CCCCn1cc[n+](CC(O)=O)c1
im-1coo2,1	CCOC(=O)C[n+]1ccn(C)c1
im-2,1,s1	CCn1cc[n+](C)c1SC
im-2,1,s3	CCCSc1n(CC)cc[n+]1C
im-2,1,s3i	CCn1cc[n+](C)c1SC(C)C
im-2,1,s8	CCCCCCCCSc1n(CC)cc[n+]1C
im-6,1,s1	CCCCCCn1cc[n+](C)c1SC
im-3so3h	OS(=O)(=O)CCC[n+]1cc[nH]c1
im-3so3h,1	Cn1cc[n+](CCCS(O)(=O)=O)c1
im-3so3h,2	CCn1cc[n+](CCCS(O)(=O)=O)c1
im-3so3h,4	CCCCn1cc[n+](CCCS(O)(=O)=O)c1
im-4so3h,1	Cn1cc[n+](CCCCS(O)(=O)=O)c1
im-4so31	COS(=O)(=O)CCCCn1cc[n+](C)c1
im-4so32	CCOS(=O)(=O)CCCCn1cc[n+](C)c1
im-2dp,4	CCCCn1cc[n+](CCP(=O)(OCC)OCC)c1
im-3dp,4	CCCCn1cc[n+](CCCP(=O)(OCC)OCC)c1
im-2dp,6	CCCCCCn1cc[n+](CCP(=O)(OCC)OCC)c1
im-3dp,6	CCCCCCn1cc[n+](CCCP(=O)(OCC)OCC)c1
im-2dp,8	CCCCCCCCn1cc[n+](CCP(=O)(OCC)OCC)c1
im-3dp,8	CCCCCCCCn1cc[n+](CCCP(=O)(OCC)OCC)c1
im-1tms,1	C[n+]1ccn(C[Si](C)(C)C)c1
im-1tms,1,1	Cc1n(C)cc[n+]1C[Si](C)(C)C
im-1dmsph,1	C[n+]1ccn(C[Si](C)(C)c2ccccc2)c1
im-1dmsotms,1	C[n+]1ccn(C[Si](C)(C)O[Si](C)(C)C)c1
im-1tms,1,1o4	CCCCOCc1n(C)cc[n+]1C[Si](C)(C)C
im-1dmsodmsph,1	Cn1cc[n+](C[Si](C)(C)O[Si](C)(C)c2ccccc2)c1
im-1dmsodphs1,1	Cn1cc[n+](C[Si](C)(C)O[Si](C)(c2ccccc2)c2ccccc2)c1
im-1conh4,2	CCCCNC(=O)C[n+]1ccn(CC)c1
im-2ono2,1	C[n+]1ccn(CCO[N+]([O-])=O)c1
im-2,1D	[2H]C([2H])([2H])n1cc[n+](CC)c1
im-2D,1	[2H]C([2H])([2H])C([2H])([2H])[n+]1ccn(C)c1
im-2D,1D	[2H]C([2H])([2H])n1cc[n+](c1)C([2H])([2H])C([2H])([2H])[2H]
pz-2,1	CC[n+]1cccn1C
pz-4,1	CCCC[n+]1cccn1C
pz-1,1,1[4]	Cc1cn(C)[n+](C)c1
pz-2,1,1[3],1[5]	CC[n+]1c(C)cc(C)n1C
pz-3,1,1[3],1[5]	CCC[n+]1c(C)cc(C)n1C
pz-4,1,1[3],1[5]	CCCC[n+]1c(C)cc(C)n1C
pz-ph,1,1[3],1[5]	Cc1cc(C)[n+](C)n1-c1ccccc1
pz-ph,4,1[3],1[5]	CCCC[n+]1c(C)cc(C)n1-c1ccccc1
pz-ph,5,1[3],1[5]	CCCCC[n+]1c(C)cc(C)n1-c1ccccc1
pz-ph,6,1[3],1[5]	CCCCCC[n+]1c(C)cc(C)n1-c1ccccc1
pz-ph,7,1[3],1[5]	CCCCCCC[n+]1c(C)cc(C)n1-c1ccccc1
pz-2o1,1	COCC[n+]1cccn1C
pz-2o1,2	CCn1ccc[n+]1CCOC
pz-2o2,1	CCOCC[n+]1cccn1C
pz-2o2,2	CCOCC[n+]1cccn1CC
pz-2o1,1,1[3],1[5]	COCC[n+]1c(C)cc(C)n1C
pz-2o1,2,1[3],1[5]	CCn1c(C)cc(C)[n+]1CCOC
trz123-4,1	CCCCn1cc[n+](C)n1
trz123-6,1	CCCCCCn1cc[n+](C)n1
trz123-8,1	CCCCCCCCn1cc[n+](C)n1
trz123-10,1	CCCCCCCCCCn1cc[n+](C)n1
trz123-12,1	CCCCCCCCCCCCn1cc[n+](C)n1
trz123-3,3,3[4]	CCCc1cn(CCC)n[n+]1CCC
trz123-3,3,3i[4]	CCCn1cc(C(C)C)[n+](CCC)n1
trz123-3i,3,3i[4]	CCC[n+]1nn(cc1C(C)C)C(C)C
trz123-3i,3i,3i[4]	CC(C)c1cn(n[n+]1C(C)C)C(C)C
trz123-6,1,3[4]	CCCCCCn1cc(CCC)[n+](C)n1
trz123-1ph,1,3[4]	CCCc1cn(Cc2ccccc2)n[n+]1C
trz123-1ph,1,ph[4]	C[n+]1nn(Cc2ccccc2)cc1-c1ccccc1
trz123-6,1,ph[4]	CCCCCCn1cc(-c2ccccc2)[n+](C)n1
trz123-8,1,ph[4]	CCCCCCCCn1cc(-c2ccccc2)[n+](C)n1
trz123-ph,1,6[4]	CCCCCCc1cn(n[n+]1C)-c1ccccc1
trz123-[2o]31,1,3[4]	CCCc1cn(CCOCCOCCOC)n[n+]1C
trz123-[2o]31,1,ph[4]	COCCOCCOCCn1cc(-c2ccccc2)[n+](C)n1
trz123-1tms,1,3[4]	CCCc1cn(C[Si](C)(C)C)n[n+]1C
trz123-1tms,1,ph[4]	C[n+]1nn(C[Si](C)(C)C)cc1-c1ccccc1
trz124-4,1	CCCCn1c[n+](C)cn1
trz124-4so3h,5	CCCCCn1c[n+](CCCCS(O)(=O)=O)cn1
trz124-nh2,1	Cn1c[n+](N)cn1
trz124-2f,7	CCCCCCCn1c[n+](CCF)cn1
trz124-2f,10	CCCCCCCCCCn1c[n+](CCF)cn1
trz124-2(1[f]),1	Cn1c[n+](CCC(F)(F)F)cn1
trz124-2(1[f]),3	CCCn1c[n+](CCC(F)(F)F)cn1
trz124-2(1[f]),4	CCCCn1c[n+](CCC(F)(F)F)cn1
trz124-2(1[f]),7	CCCCCCCn1c[n+](CCC(F)(F)F)cn1
trz124-2(1[f]),10	CCCCCCCCCCn1c[n+](CCC(F)(F)F)cn1
tetraz-1,s2[5]	CCSc1[nH+]nnn1C
bthz-s2[2]	CCSc1[nH+]c2ccccc2s1
dc[im-1]2-2	Cn1cc[n+](CCn2cc[n+](C)c2)c1
dc[im-1]2-3	C[n+]1ccn(CCCn2cc[n+](C)c2)c1
dc[im-1]2-4	C[n+]1ccn(CCCCn2cc[n+](C)c2)c1
dc[im-1]2-5	C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1
dc[im-1]2-6	C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1
dc[im-1]2-8	C[n+]1ccn(CCCCCCCCn2cc[n+](C)c2)c1
dc[im-1]2-9	C[n+]1ccn(CCCCCCCCCn2cc[n+](C)c2)c1
dc[im-1]2-10	C[n+]1ccn(CCCCCCCCCCn2cc[n+](C)c2)c1
dc[im-1]2-12	C[n+]1ccn(CCCCCCCCCCCCn2cc[n+](C)c2)c1
dc[im-2]2-4	CCn1cc[n+](CCCC[n+]2ccn(CC)c2)c1
dc[im-4]2-5	CCCC[n+]1ccn(CCCCCn2cc[n+](CCCC)c2)c1
dc[im-4]2-9	CCCC[n+]1ccn(CCCCCCCCCn2cc[n+](CCCC)c2)c1
dc[im-1,1]2-3	Cc1n(C)cc[n+]1CCC[n+]1ccn(C)c1C
dc[im-1,1]2-4	Cc1n(C)cc[n+]1CCCC[n+]1ccn(C)c1C
dc[im-1,1]2-5	Cc1n(CCCCCn2cc[n+](C)c2C)cc[n+]1C
dc[im-1,1]2-7	Cc1n(C)cc[n+]1CCCCCCC[n+]1ccn(C)c1C
dc[im-1,1]2-9	Cc1n(CCCCCCCCCn2cc[n+](C)c2C)cc[n+]1C
dc[im-1,1]2-3[1i]	C[C@H](CC[n+]1ccn(C)c1C)[n+]1ccn(C)c1C
dc[im-1,1]2-3[2i]	CC(C[n+]1ccn(C)c1C)C[n+]1ccn(C)c1C
dc[im-1,1]2-3[2ichch]	Cc1n(C)cc[n+]1CC(=C)C[n+]1ccn(C)c1C
dc[im-1,1]2-4[1i]	C[C@@H](CCC[n+]1ccn(C)c1C)[n+]1ccn(C)c1C
